"id","text","class"
0,"Apaiser la faim semble le premier but de la nourriture.
Mais le véritable objectif est de fournir chaque jour les éléments indispensables à la vie de nos 60 000 milliards de cellules.
L'estomac vide fait des bruits. 
En réalité c'est le cerveau qui a donné l'alerte.
Il a détecté un manque de sucre dans le sang et a déclenché l'envie de manger.
Dès la première bouchée les goûts et les odeurs calment le cerveau. 
Au bout d'une vingtaine de minutes, l'estomac exprime aussi sa satisfaction par des signaux chimiques et nerveux.
 Le foie, le pancréas, et l'intestin confirment chacun à leur tour le message : « J'ai assez mangé ».
Le corps est prêt à attendre le goûter … du moins si le repas sait répondre à ses besoins.
Car d'un menu : carottes râpées-steak-pâtes-pain-camembert-pomme, l'organisme devra tirer de quoi respirer, rester chaud, grandir, lutter contre les microbes, jouer au foot ou rédiger un texte.
Les morceaux d'aliments sont d'abord changés en bouillie liquide.
Puis ils sont décomposés en éléments assez petits pour traverser la paroi de l'intestin.
Charriés par le sang, ils s'en vont prendre place dans l'organisme.
Les glucides (sucres des pâtes, du pain, du fruit) fournissent de l'énergie.
Les protéines du steak et du fromage fabriquent des os, de la peau, des cheveux, des membranes de cellules, des anticorps, des hormones, etc.
Les lipides (gras de la viande et du camembert, huile des carottes, beurre des pâtes) assurent le fonctionnement des systèmes nerveux, sanguin, hormonal et de défense contre les maladies.
Des microdoses de vitamines et de minéraux sont demandées un peu partout.
Or, le corps ne sait pas les fabriquer. 
Il doit les trouver dans les aliments, mais sans être gêné par des substances anti-nutriments comme les colorants, les pesticides, l'huile frite, l'alcool ou la fumée de cigarette.
Prévoyant, l'organisme met en réserve les sucres et les corps gras qu'il n'utilise pas immédiatement.
Le reste -les fibres des pâtes, du pain, des carottes et de la pomme- est éliminé, jouant au passage l'effet d'éponge nettoyante des substances toxiques.","source"
0,"Calmer la faim semble le premier but de la nourriture.
Mais le vrai but est de fournir ce qui est utile à la vie de nos 60 000 milliards de cellules.
L'estomac vide fait des bruits. 
En réalité, le cerveau donne l'alerte.
Il détecte un manque de sucre dans le sang et donne l'envie de manger.
Les goûts et les odeurs calment le cerveau.
 Au bout de vingt minutes, l'estomac montre son plaisir par des signaux chimiques et nerveux.
Le foie, le pancréas, et l'intestin confirment le message : « J'ai assez mangé ». 
Le corps est prêt à attendre le goûter... surtout si le repas sait répondre à ses besoins.
Car d'un menu : carottes râpées-steak-pâtes-pain-camembert-pomme, le corps devra tirer de quoi respirer, rester chaud, grandir, lutter contre les microbes, jouer au foot ou rédiger un texte.
Les aliments se transforment en pâte liquide.
Puis ils sont décomposés en petits bouts pour traverser la paroi de l'intestin.
Portés par le sang, ils s'en vont prendre place dans le corps.
Les glucides (sucres des pâtes, du pain, du fruit) donnent de l'énergie.
Les protéines du steak et du fromage fabriquent des os, de la peau, des cheveux, des cellules, des anticorps, des hormones, etc.
Les lipides (gras de la viande et du camembert, huile des carottes, beurre des pâtes) assurent le travail des systèmes nerveux, sanguin, hormonal et de défense contre les maladies.
Le corps demande des petites doses de vitamines et de minéraux.
Or, le corps ne sait pas les créer.
Il doit les trouver dans les aliments sans être gêné par des produits comme les colorants, les pesticides, l'huile frite, l'alcool ou la fumée de cigarette.
L'organisme est sage : il met en réserve les sucres et les corps gras qu'il n'utilise pas tout de suite.
Le reste s'élimine (les fibres des pâtes, du pain, des carottes et de la pomme). C'est comme une éponge qui nettoie les substances toxiques.","target"
1,"Les satellites sont des engins envoyés dans l'espace. Ils reçoivent puis émettent des programmes télé, des données météo ou ils prennent des images de notre planète. Si tous les satellites tombaient en panne on n'aurait plus la météo ! En plus, les images envoyées à partir des autres continents par la télé n'arriveraient plus en direct. On ne verrait que des matchs en différé. Mais on garderait internet. Tout ne s'arrêterait pas ! En effet, 80 % des infos du Net circulent par des câbles ou des fibres optiques enterrés dans le sol ou au fond des océans. On pourrait toujours écouter la radio qui est diffusée par des ondes. Les satellites relient les humains. Le système GPS utilise 30 satellites pour couvrir notre terre. Ainsi l'avion utilise ses GPS pour se repérer. Ils donnent aussi notre position sur la route. Le GPS de la voiture donne sa position en calculant le temps mis par les signaux de 4 satellites pour l'atteindre. Ils surveillent aussi les récoltes. La moissonneuse enregistre toutes les 2 secondes sa position et la quantité de grains récoltés. L'agriculteur connaît alors les endroits où ça pousse le moins et où il devra ajouter l'engrais. La terre est entourée d'un brouillard de satellites. Il y a plus de 2500 satellites en activité autour de la terre.","source"
1,"Les satellites sont des appareils envoyés dans l'espace. Ils reçoivent puis envoient des programmes télé ou des données météo. Ils prennent des images de notre planète. Si tous les satellites tombaient en panne, on n'aurait plus la météo ! En plus, les images de la télé envoyées à partir des autres continents n'arriveraient plus en direct. Les matchs de foot seraient diffusés en retard. Mais tout ne s'arrêterait pas, on garderait internet. Les données du Net passent par des câbles ou des fibres optiques dans le sol ou au fond des océans. On écouterait toujours la radio. Elle se diffuse par des ondes. Les satellites relient les hommes. Le système GPS utilise 30 satellites pour couvrir notre terre. L'avion utilise ses GPS pour se repérer. Les GPS donnent notre position sur la route. Le GPS de la voiture donne sa position grâce aux signaux reçus de 4 satellites. Les GPS surveillent aussi les récoltes. La moissonneuse enregistre sa position et la quantité de grains récoltés toutes les 2 secondes. L'agriculteur peut alors mettre de l'engrais là où ça pousse le moins. Un brouillard de satellites entoure la terre, 2500 sont en activité.","target"
2,"Sur la place d'un village dans le sud de l'Inde, il y avait un arbre prodigieux. 
N'allez pas imaginer un arbre de cent mètres de haut. 
Cet arbre n'a que deux branches... Deux belles branches charpentières, comme deux bras ouverts, comme une invitation à la vie.
Au pied de l'arbre on trouve des offrandes de toutes sortes : guirlandes de fleurs, friandises, objets insolites… en remerciement pour tous les vœux exaucés. 
Sur ces deux branches, l'arbre donne des fruits sublimes, gros comme des papayes, dorés comme des mangues, juteux comme des ananas. 
Une branche donne la vie, l'autre donne la mort.
La droite ou la gauche ?
Or, les villageois ont oublié depuis bien longtemps de quel côté sont les bons fruits et de quel côté sont les fruits empoisonnés...
Cette année-là, un printemps très sec, suivi d'un été trop chaud assèche la terre. 
La région est touchée par la sécheresse. 
La sécheresse est associée à une famine. 
Les villageois ont faim. 
Seul l'arbre, sur la place du village, reste imperturbable tel un patriarche, avec toujours autant de fruits sur ses deux branches que d'étoiles dans le ciel.
Ils ont redoublé de prières et d'offrandes. 
Personne n'ose risquer de perdre la vie en choisissant un fruit sur une des deux branches. 
Pourtant, un jeune homme va prendre le risque, courageux et héroïque, pour aider ses amis à traverser cette période difficile. 
Tout le village est rassemblé en cercle autour de lui. 
Il se dirige vers l'arbre, vers la branche de droite. 
Il choisit un fruit, ferme les yeux, le porte à la bouche. 
Le fruit est délicieux. 
Aussitôt les villageois se précipitent vers l'arbre et se gorgent de ces fruits sublimes qui comme par miracle repoussent aussitôt, dès qu'ils sont cueillis. 
Puis ils commencent à regarder la branche de gauche avec un air de défi, un air de provocation. 
Ils finissent par se dire que cette branche est nuisible… il faut s'en débarrasser. 
La décision est prise à l'unanimité. 
Les villageois scient la branche à ras du tronc avec une joie vengeresse. 
L'arbre, amputé d'une de ses branches, n'offre plus au soleil du matin que des feuilles racornies. 
Les oiseaux le fuient. 
L'écorce se dessèche. 
L'arbre est mort.","source"
2,"Sur la place d'un village dans le sud de l'Inde, il y avait un arbre énorme. 
N’imaginez pas un arbre haut de 100 mètres.
Cet arbre n'a que 2 branches… 2 belles branches, comme 2 bras ouverts, comme une invitation à la vie.
Au pied de l’arbre on trouve des cadeaux de toutes sortes : fleurs, bonbons, objets bizarres… pour le remercier des vœux accordés. 
Sur ces 2 branches, l’arbre donne de beaux fruits, gros comme des papayes, dorés comme des mangues, juteux comme des ananas. 
Une branche donne la vie, l’autre donne la mort. 
La droite ou la gauche ?
Or, les villageois ont oublié de quel côté sont les bons fruits et de quel côté sont les fruits empoisonnés…
Cette année-là, un printemps sec, suivi d’un été chaud sèche la terre. 
La région devient très sèche. 
La sécheresse apporte la famine. 
Les villageois ont faim. 
Seul l’arbre, sur la place du village reste identique. Il garde autant de fruits sur ses 2 branches que d’étoiles dans le ciel.
Les villageois ont multiplié les prières et les offrandes. 
Personne n’ose choisir un fruit sur une des 2 branches, de peur de perdre la vie.
Pourtant, un jeune homme brave et fort va prendre le risque, pour aider ses amis. 
Tout le village est en cercle autour de lui. 
Il va vers l’arbre, vers la branche de droite. 
Il choisit un fruit, ferme les yeux, le porte à la bouche. 
Le fruit est bon. 
Aussitôt les villageois courent vers l’arbre et mangent ces bons fruits. Comme par magie les fruits repoussent, dès qu’ils sont cueillis. 
Puis les villageois commencent à regarder la branche de gauche avec un air de défi, un air menaçant. 
Ils finissent par se dire que cette branche est mauvaise… il faut l’enlever. 
La décision est prise ensemble. 
Les villageois, en colère, scient la branche à ras du tronc. 
L’arbre, privé d’une de ses branches, n’offre plus au soleil du matin que des feuilles abimées. 
Les oiseaux le fuient. 
L’écorce se dessèche. 
L’arbre est mort.","target"
3,"Il y a 390 millions d'années, l'aventure des forêts commence. Ce monde fascinant et mystérieux, encore partiellement ignoré, est celui de 4 milliards d'hectares peuplés d'arbres qui couvrent 30% des terres de notre planète. Le milieu forestier est un laboratoire alimenté par l'énergie solaire stockée comme dans une pile -le bois- fabriqué avec du dioxyde de carbone (CO2), de l'eau et des matières nutritives puisées dans le sol. Secs ou humides, ensoleillés ou pas, les roches et les sols mis à nu sont occupés par des végétaux dits pionniers parce qu'ils s'installent avant les autres et forment le premier humus. La roche-mère se dégrade sous l'effet combiné du gel, de la chaleur, de l'eau et du vent. Ce dernier apporte les spores des champignons, des mousses, des lichens et des fougères. Sur les rivières et les océans naviguent les graines flottantes qui s'installent sur les rivages, les plus légères étant transportées par les fientes et le plumage des oiseaux migrateurs. Une phytocénose, une communauté végétale, s'installe en fonction de la ressource en eau. Une flore diversifiée puis des arbustes et des arbres pionniers colonisent ces milieux nus. Cette mosaïque végétale évolue, sa complexité aussi : l'arbre, puis la forêt résulte de ce processus. En forêt, la transpiration végétale représente 25 à 50 m3 d'eau par jour et par hectare. Avec l'évaporation du sol et des eaux de surface, elle constitue l'évapotranspiration générale qui forme les nuages. Le sol forestier est une éponge qui régule la circulation de l'eau, recharge les réserves souterraines et alimente les sources. La forêt est aussi protectrice d'oxygène et fixe le carbone de l'air. Les cimes des arbres freinent les vents violents qui en renversent d'autres, plus fragiles. Le cycle de reconstitution végétale s'enclenche alors. La forêt est aussi un conservatoire d'espèces animales et végétales encore méconnues, un réservoir de biodiversité génétique important, un climatiseur pour les sols. Grâce aux champignons, aux bactéries et autre micro-faune, le sol forestier est une usine qui recycle les matières organiques puis restitue les éléments nutritifs au sol, dans lequel se développent les racines. Elles pompent l'eau, les sels minéraux et stabilisent l'arbre qui grandit.","source"
3,"Il y a 390 millions d'années, l'aventure des forêts commence. Ce monde intéressant et mystérieux est encore peu connu. 4 milliards d'hectares d'arbres couvrent 30% des terres de notre planète. Le milieu forestier est un milieu nourri par l'énergie solaire stockée comme dans une pile -le bois- fabriqué avec du dioxyde de carbone (CO2), de l'eau et des éléments nourrissants pris dans le sol. Les roches et les sols nus, secs ou humides, ensoleillés ou pas, sont occupés par des végétaux dits pionniers parce qu'ils s'installent les premiers. Ils forment l'humus. La roche s'use sous l'effet multiplié du gel, de la chaleur, de l'eau et du vent. Le vent apporte les spores des champignons, des mousses, des lichens et des fougères. Les graines naviguent sur les rivières et les océans, les plus légères sont transportées par les crottes et le plumage des oiseaux migrateurs. Elles se posent sur les rivages. Une phytocénose, une communauté végétale, s'installe selon la ressource en eau. Une flore variée puis des arbustes et les premiers arbres occupent ces milieux nus. Ce mélange végétal progresse, sa complexité aussi : l'arbre, puis la forêt résulte de cette évolution. En forêt, la transpiration des plantes représente 25 à 50 m3 d'eau par jour et par hectare. Cette transpiration et l'évaporation du sol et des eaux de surface constituent l'évapotranspiration générale. Cette évapotranspiration forme les nuages. Le sol forestier est une éponge qui contrôle la circulation de l'eau, remplit les réserves sous terre et grossit les sources. La forêt est aussi gardienne de l'oxygène et fixe le carbone de l'air. Les cimes des arbres arrêtent les vents violents qui abattent d'autres arbres plus fragiles. Le cycle de reconstitution végétale débute alors. La forêt est aussi un milieu privilégié d'espèces animales et végétales encore peu connues, une réserve importante d'espèces, un climatiseur pour les sols. Grâce aux champignons, aux bactéries et autres espèces minuscules, le sol de la forêt est une usine qui récupère les matières organiques. Le sol forestier redonne les éléments nourrissants aux racines qui se développent. Les racines pompent l'eau, les sels minéraux et fixent l'arbre. Il grandit.","target"
4,"L'arc-en-ciel est probablement l'un des phénomènes optiques et météorologiques le plus beau à observer. 
L'arc-en-ciel est un phénomène optique dû à la réflexion, la réfraction et la dispersion des radiations colorées composant la lumière du soleil à travers les gouttes de pluie.
En fonction des cultures, on considère qu'il présente entre 3 et 9 couleurs. 
En Occident, on en dénombre généralement 7 : rouge, orange, jaune, vert, bleu, indigo et violet. Mais ceci ne représente qu'une infime partie des couleurs.  
En effet, certaines d'entre elles ne sont pas perceptibles par l'œil humain et d'autres ne sont pas assez différentes des couleurs voisines pour être différenciées, ce qui explique que notre organe ne voit qu'un nombre limité de couleurs.
Deux personnes ne verront jamais le même arc-en-ciel. Pourquoi ? 
Parce que les gouttelettes d'eau au travers desquelles passe la lumière sont constamment en mouvement. 
Aussi, leur aspect change et les radiations lumineuses rebondissent avec des angles complètement différents en fonction du moment. 
De plus, si toutes les gouttes de pluie réfractent et reflètent la lumière, c'est seulement la lumière d'une petite partie des gouttes qui va atteindre l'oeil de l'observateur en fonction de sa position. 
Si un arc-en-ciel a besoin des rayons du soleil pour se former, comment peut-il apparaitre la nuit ? 
Lorsque la lune pleine ou quasiment pleine pique la place du soleil. 
La lumière qu'elle émet frappe de même les gouttes de pluie ou d'humidité et provoque l'apparition du spectre lumineux. 
C'est ce qu'on appelle un arc-en-ciel lunaire mais celui-ci est bien plus pâle que la forme traditionnelle. 
De plus, la nuit doit être bien dégagée pour que l'arc-en-ciel puisse apparaitre. 
Il est impossible d'atteindre la fin d'un arc-en-ciel. 
Vous pouvez essayer de vous déplacer, de changer d'angle, il est impossible d'atteindre la fin ou le ""pied"" d'un arc-en-ciel. 
Pour la simple et bonne raison que les radiations colorées qui forment le phénomène dépendent de la distance et de l'angle auxquels se trouve l'observateur. 
Si vous bougez, l'arc-en-ciel bouge avec vous. 
C'est pourquoi certaines légendes affirment qu'il y a un trésor caché au pied des arcs-en-ciel.","source"
4,"L'arc-en-ciel est le plus beau des phénomènes optiques et météorologiques à observer. 
L'arc-en-ciel est dû à la réflexion, la réfraction et la dispersion, à travers les gouttes de pluie, des couleurs composant la lumière du soleil.
En fonction des cultures, on considère qu'il y a entre 3 et 9 couleurs. 
En Occident, on en compte 7 : rouge, orange, jaune, vert, bleu, indigo et violet. Mais ceci n'est qu'une petite partie des couleurs.  
En effet, certaines ne sont pas visibles par l'oeil humain et d'autres ont peu de différences entre elles. Ceci explique que notre œil ne voit qu'un nombre limité de couleurs.
Pourquoi 2 personnes ne verront jamais le même arc-en-ciel ?
Car les gouttelettes d'eau, traversées par la lumière, bougent toujours. 
Ainsi, selon le moment, leur aspect change et les rayons lumineux rebondissent avec des angles différents.
De plus, si toutes les gouttes de pluie réfractent et reflètent la lumière, l'observateur ne voit la  lumière que d'une petite partie des gouttes selon sa position. 
Si un arc-en-ciel a besoin des rayons du soleil pour se former, comment peut-il apparaitre la nuit ? 
Lorsque la lune joue le rôle du soleil. 
La lumière émise par la lune frappe les gouttes de pluie ou d'humidité et provoque l'apparition du spectre lumineux. 
Ceci s'appelle un arc-en-ciel lunaire mais celui-ci est bien plus pâle que la forme vue le jour. 
De plus, la nuit doit être bien dégagée pour voir l'arc-en-ciel. 
Il est impossible d'atteindre la fin d'un arc-en-ciel. 
Vous pouvez essayer de vous déplacer, de changer d'angle, voir la fin ou le ""pied"" d'un arc-en-ciel est impossible. 
Les couleurs qui forment l'arc-en-ciel dépendent de la distance et de l'angle de l'observateur. 
Si vous bougez, l'arc-en-ciel bouge avec vous. 
C'est pourquoi certaines légendes racontent qu'il y a un trésor caché au pied des arcs-en-ciel.","target"
